CustomerID,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12412,2011-09-26 10:16:00,75,3,1226.88,2,3,4,9,High Value At Risk
12413,2011-10-04 09:00:00,67,3,758.1,3,3,3,9,Potential Loyalists
12414,2011-05-06 14:51:00,217,3,562.41,1,3,3,7,Potential Loyalists
12415,2011-11-15 14:22:00,24,21,124914.53,4,5,5,14,Champions
12417,2011-12-06 14:52:00,3,9,3649.1,5,5,5,15,Champions
12418,2011-08-19 11:08:00,113,1,668.58,2,1,3,6,At Risk
12420,2011-10-07 08:55:00,64,1,600.39,3,1,3,7,Potential Loyalists
12421,2011-11-24 09:07:00,16,4,807.04,4,4,3,11,Loyal Customers
12422,2011-09-05 09:48:00,96,3,803.56,2,3,3,8,Potential Loyalists
12423,2011-12-09 10:10:00,1,8,1859.31,5,5,4,14,Champions
12424,2011-06-30 12:06:00,163,2,1760.96,2,2,4,8,High Value At Risk
12425,2011-09-22 17:31:00,78,1,777.2,2,1,3,6,At Risk
12426,2011-05-29 12:26:00,195,1,582.73,1,1,3,5,At Risk
12427,2011-11-18 08:56:00,22,3,825.8,4,3,3,10,Potential Loyalists
12428,2011-11-14 08:22:00,26,9,7956.46,4,5,5,14,Champions
12429,2011-11-30 17:22:00,9,4,3750.4,5,4,5,14,Champions
12430,2011-10-27 15:09:00,43,1,256.4,3,1,2,6,Potential Loyalists
12431,2011-11-04 11:55:00,36,15,6419.95,3,5,5,13,Champions
12432,2011-10-28 11:43:00,43,5,5059.32,3,4,5,12,Potential Loyalists
12433,2011-12-09 10:02:00,1,7,13375.87,5,5,5,15,Champions
12434,2011-09-16 12:38:00,85,2,806.14,2,2,3,7,At Risk
12435,2011-09-21 09:06:00,80,2,7829.89,2,2,5,9,High Value At Risk
12436,2011-09-01 12:09:00,100,1,509.01,2,1,3,6,At Risk
12437,2011-12-08 11:35:00,2,18,4951.41,5,5,5,15,Champions
12438,2011-11-25 13:28:00,14,2,2906.85,4,2,5,11,New or Recent Customers
12441,2010-12-08 10:45:00,367,1,173.55,1,1,1,3,At Risk
12442,2011-12-06 14:22:00,3,1,172.06,5,1,1,7,New or Recent Customers
12444,2011-11-18 13:23:00,21,5,5005.46,4,4,5,13,Champions
12445,2011-11-17 18:43:00,22,1,133.4,4,1,1,6,New or Recent Customers
12446,2011-10-13 12:50:00,58,1,1002.31,3,1,4,8,Potential Loyalists
12447,2011-04-10 13:25:00,243,1,476.49,1,1,2,4,At Risk
12448,2011-10-26 13:46:00,44,1,449.45,3,1,2,6,Potential Loyalists
12449,2011-11-17 13:46:00,22,4,4067.29,4,4,5,13,Champions
12450,2011-07-06 14:41:00,156,2,197.88,2,2,1,5,At Risk
12451,2011-11-29 08:40:00,11,5,9035.52,5,4,5,14,Champions
12452,2011-11-23 10:28:00,17,2,430.57,4,2,2,8,New or Recent Customers
12453,2011-07-28 14:08:00,134,1,707.09,2,1,3,6,At Risk
12454,2011-10-14 17:13:00,56,1,3528.34,3,1,5,9,Potential Loyalists
12455,2011-09-27 15:31:00,73,6,2466.86,2,4,5,11,High Value At Risk
12456,2011-10-26 14:41:00,44,3,3181.04,3,3,5,11,Potential Loyalists
12457,2011-10-04 13:13:00,66,7,2363.23,3,5,5,13,Champions
12458,2011-09-29 15:25:00,71,2,947.4,3,2,4,9,Potential Loyalists
12461,2011-09-06 16:57:00,94,2,826.88,2,2,3,7,At Risk
12462,2011-11-21 09:11:00,19,2,1189.59,4,2,4,10,New or Recent Customers
12463,2011-10-17 13:44:00,53,4,1344.78,3,4,4,11,Potential Loyalists
12464,2011-11-29 13:33:00,10,8,1212.05,5,5,4,14,Champions
12465,2011-11-22 16:34:00,17,2,742.19,4,2,3,9,New or Recent Customers
12468,2011-06-05 11:36:00,188,2,729.54,1,2,3,6,At Risk
12471,2011-12-07 15:43:00,2,30,19788.65,5,5,5,15,Champions
12472,2011-11-07 14:01:00,32,7,6572.11,4,5,5,14,Champions
12473,2011-11-10 13:46:00,29,5,3928.05,4,4,5,13,Champions
12474,2011-11-22 14:39:00,17,18,7324.09,4,5,5,14,Champions
12475,2011-10-17 10:10:00,54,1,723.38,3,1,3,7,Potential Loyalists
12476,2011-11-24 12:40:00,16,11,6816.42,4,5,5,14,Champions
12477,2011-11-17 09:51:00,23,6,13219.74,4,4,5,13,Champions
12478,2011-12-06 09:56:00,4,1,680.99,5,1,3,9,New or Recent Customers
12479,2011-11-28 13:26:00,11,1,527.2,5,1,3,9,New or Recent Customers
12480,2011-11-11 14:52:00,28,4,3281.63,4,4,5,13,Champions
12481,2011-11-17 08:29:00,23,10,5579.82,4,5,5,14,Champions
12483,2011-11-22 17:02:00,17,8,2484.98,4,5,5,14,Champions
12484,2011-11-07 11:37:00,33,6,4527.32,4,4,5,13,Champions
12488,2011-11-30 08:50:00,10,3,1298.66,5,3,4,12,Potential Loyalists
12489,2011-01-07 13:13:00,336,1,334.93,1,1,2,4,At Risk
12490,2011-12-04 16:07:00,5,10,5417.93,5,5,5,15,Champions
12491,2011-11-01 12:18:00,39,1,460.4,3,1,2,6,Potential Loyalists
12492,2011-10-07 15:15:00,63,2,263.21,3,2,2,7,Potential Loyalists
12493,2011-06-27 10:17:00,166,2,433.74,2,2,2,6,At Risk
12494,2011-11-24 09:34:00,16,7,1246.1,4,5,4,13,Champions
12497,2011-09-19 12:29:00,82,1,1043.1,2,1,4,7,High Value At Risk
12498,2011-11-18 12:53:00,21,3,403.7,4,3,2,9,Potential Loyalists
12500,2011-11-16 16:20:00,23,11,4257.82,4,5,5,14,Champions
12501,2011-01-07 12:28:00,337,1,2169.39,1,1,5,7,High Value At Risk
12502,2011-09-05 11:52:00,96,5,3723.87,2,4,5,11,High Value At Risk
12504,2011-11-21 16:02:00,18,2,482.05,4,2,2,8,New or Recent Customers
12506,2011-04-21 08:54:00,233,1,73.5,1,1,1,3,At Risk
12507,2011-07-28 17:09:00,134,3,1304.81,2,3,4,9,High Value At Risk
12508,2011-11-13 15:37:00,26,2,397.88,4,2,2,8,New or Recent Customers
12509,2011-02-28 14:45:00,284,1,176.5,1,1,1,3,At Risk
12510,2011-07-20 10:15:00,143,2,982.57,2,2,4,8,High Value At Risk
12512,2011-10-04 14:55:00,66,2,132.18,3,2,1,6,Potential Loyalists
12513,2011-08-19 10:51:00,113,1,612.29,2,1,3,6,At Risk
12514,2011-03-17 16:38:00,267,1,1017.68,1,1,4,6,High Value At Risk
12515,2010-12-21 15:43:00,353,1,383.7,1,1,2,4,At Risk
12516,2011-09-23 09:13:00,78,2,1312.06,2,2,4,8,High Value At Risk
12517,2011-11-11 14:04:00,28,5,2481.6,4,4,5,13,Champions
12518,2011-12-09 10:13:00,1,5,2056.89,5,4,5,14,Champions
12519,2011-10-07 09:26:00,64,1,330.84,3,1,2,6,Potential Loyalists
12520,2011-09-21 15:23:00,79,5,2634.26,2,4,5,11,High Value At Risk
12521,2011-07-20 10:51:00,143,1,599.68,2,1,3,6,At Risk
12522,2011-10-31 15:30:00,39,2,192.72,3,2,1,6,Potential Loyalists
12523,2011-11-20 12:55:00,19,11,1789.77,4,5,4,13,Champions
12524,2011-11-30 15:31:00,9,8,4485.72,5,5,5,15,Champions
12526,2011-12-09 12:09:00,1,3,1316.66,5,3,4,12,Potential Loyalists
12527,2011-09-19 11:55:00,82,3,348.71,2,3,2,7,Potential Loyalists
12528,2011-11-30 14:40:00,9,6,1933.48,5,5,4,14,Champions
12530,2011-10-11 12:34:00,60,4,1662.28,3,4,4,11,Potential Loyalists
12531,2011-11-25 11:12:00,15,1,125.22,4,1,1,6,New or Recent Customers
12532,2011-11-09 13:47:00,30,1,349.83,4,1,2,7,New or Recent Customers
12534,2011-08-01 10:26:00,131,1,1089.18,2,1,4,7,High Value At Risk
12535,2011-09-09 08:48:00,92,2,716.35,2,2,3,7,At Risk
12536,2011-10-27 14:20:00,43,3,12601.83,3,3,5,11,Potential Loyalists
12538,2011-11-10 17:16:00,29,1,363.95,4,1,2,7,New or Recent Customers
12539,2011-11-17 13:30:00,22,4,5568.35,4,4,5,13,Champions
12540,2011-11-20 11:31:00,20,17,13400.24,4,5,5,14,Champions
12541,2011-11-10 10:40:00,30,3,981.18,4,3,4,11,Potential Loyalists
12544,2011-11-03 16:15:00,36,1,372.7,3,1,2,6,Potential Loyalists
12545,2011-09-25 13:39:00,75,2,1000.39,2,2,4,8,High Value At Risk
12546,2011-10-24 12:09:00,47,2,1161.5,3,2,4,9,Potential Loyalists
12547,2011-05-26 12:38:00,198,2,207.8,1,2,1,4,At Risk
12548,2011-06-26 15:35:00,166,1,95.2,2,1,1,4,At Risk
12550,2011-09-21 14:35:00,79,1,964.83,2,1,4,7,High Value At Risk
12551,2010-12-17 11:23:00,358,1,168.0,1,1,1,3,At Risk
12552,2011-11-01 10:02:00,39,2,437.82,3,2,2,7,Potential Loyalists
12553,2011-12-01 16:38:00,8,10,3692.28,5,5,5,15,Champions
12556,2011-10-20 13:06:00,50,2,599.56,3,2,3,8,Potential Loyalists
12557,2011-11-23 16:59:00,16,5,11990.96,4,4,5,13,Champions
12558,2011-12-02 10:41:00,8,1,269.96,5,1,2,8,New or Recent Customers
12559,2011-02-02 09:49:00,311,2,561.71,1,2,3,6,At Risk
12560,2011-12-04 13:54:00,5,3,2134.01,5,3,5,13,Champions
12561,2011-02-10 11:39:00,303,1,238.85,1,1,1,3,At Risk
12562,2011-12-01 17:20:00,8,7,3781.74,5,5,5,15,Champions
12564,2011-03-23 14:55:00,261,1,456.9,1,1,2,4,At Risk
12565,2011-02-24 10:34:00,289,1,145.92,1,1,1,3,At Risk
12566,2011-09-14 14:30:00,86,1,351.65,2,1,2,5,At Risk
12567,2011-11-17 11:02:00,23,10,9401.28,4,5,5,14,Champions
12569,2011-12-07 16:24:00,2,32,4124.69,5,5,5,15,Champions
12571,2011-10-31 10:19:00,40,2,519.61,3,2,3,8,Potential Loyalists
12572,2011-12-01 09:20:00,9,2,1020.42,5,2,4,11,New or Recent Customers
12573,2011-04-26 15:52:00,227,1,160.54,1,1,1,3,At Risk
12574,2011-01-28 09:20:00,316,1,218.45,1,1,1,3,At Risk
12576,2011-11-04 10:11:00,36,5,1315.83,3,4,4,11,Potential Loyalists
12577,2011-11-04 13:24:00,35,3,626.6,3,3,3,9,Potential Loyalists
12578,2011-11-18 13:30:00,21,2,2794.51,4,2,5,11,New or Recent Customers
12579,2011-09-22 17:15:00,78,1,440.42,2,1,2,5,At Risk
12580,2011-04-07 10:24:00,247,1,415.7,1,1,2,4,At Risk
12581,2011-10-31 08:56:00,40,1,197.71,3,1,1,5,Potential Loyalists
12582,2011-04-15 08:45:00,239,2,511.36,1,2,3,6,At Risk
12583,2011-12-07 08:07:00,3,15,7281.38,5,5,5,15,Champions
12584,2011-12-06 09:35:00,4,9,2338.15,5,5,5,15,Champions
12585,2011-04-19 13:39:00,234,2,2040.1,1,2,4,7,High Value At Risk
12586,2011-11-22 16:24:00,17,1,196.94,4,1,1,6,New or Recent Customers
12587,2011-12-02 12:47:00,8,1,144.0,5,1,1,7,New or Recent Customers
12588,2011-10-31 15:01:00,39,1,214.9,3,1,1,5,Potential Loyalists
12589,2011-11-11 10:19:00,29,2,646.68,4,2,3,9,New or Recent Customers
12590,2011-05-12 14:52:00,211,2,9864.26,1,2,5,8,High Value At Risk
12591,2011-01-26 14:35:00,317,1,452.85,1,1,2,4,At Risk
12592,2011-09-08 15:04:00,92,2,437.6,2,2,2,6,At Risk
12593,2011-08-23 12:43:00,109,3,418.1,2,3,2,7,Potential Loyalists
12594,2011-11-02 12:20:00,38,10,3338.22,3,5,5,13,Champions
12596,2011-10-19 13:02:00,51,2,618.27,3,2,3,8,Potential Loyalists
12597,2011-11-20 13:33:00,19,4,3811.22,4,4,5,13,Champions
12598,2011-11-30 12:18:00,10,8,3023.08,5,5,5,15,Champions
12599,2011-11-10 13:34:00,29,7,1032.58,4,5,4,13,Champions
12600,2011-11-11 10:29:00,29,10,2599.04,4,5,5,14,Champions
12601,2011-06-03 10:17:00,190,5,577.06,1,4,3,8,Potential Loyalists
12602,2011-10-12 11:22:00,59,1,153.12,3,1,1,5,Potential Loyalists
12603,2011-11-18 10:42:00,22,1,739.2,4,1,3,8,New or Recent Customers
12604,2011-09-21 14:08:00,79,2,254.18,2,2,2,6,At Risk
12607,2011-10-10 16:06:00,60,1,1579.51,3,1,4,8,Potential Loyalists
12609,2011-09-22 16:34:00,78,3,1126.85,2,3,4,9,High Value At Risk
12610,2011-11-17 09:34:00,23,5,2099.54,4,4,5,13,Champions
12611,2011-10-18 13:12:00,52,1,1193.32,3,1,4,8,Potential Loyalists
12612,2011-09-26 15:35:00,74,1,704.04,2,1,3,6,At Risk
12613,2011-10-13 14:59:00,57,5,3344.38,3,4,5,12,Potential Loyalists
12614,2011-03-07 10:22:00,278,1,315.6,1,1,2,4,At Risk
12615,2011-12-07 15:02:00,2,4,2291.19,5,4,5,14,Champions
12616,2011-09-05 15:17:00,95,2,713.3,2,2,3,7,At Risk
12617,2011-11-10 14:39:00,29,1,352.98,4,1,2,7,New or Recent Customers
12618,2011-11-18 11:10:00,22,1,177.31,4,1,1,6,New or Recent Customers
12619,2011-11-23 14:52:00,16,9,3641.24,4,5,5,14,Champions
12620,2011-11-25 10:20:00,15,3,1339.41,4,3,4,11,Potential Loyalists
12621,2011-12-08 11:25:00,2,20,13689.67,5,5,5,15,Champions
12622,2011-04-21 16:39:00,232,1,180.1,1,1,1,3,At Risk
12623,2011-03-08 13:50:00,276,1,305.1,1,1,2,4,At Risk
12624,2011-08-25 15:04:00,106,2,641.13,2,2,3,7,At Risk
12625,2011-05-12 09:54:00,212,2,2683.82,1,2,5,8,High Value At Risk
12626,2011-11-16 16:06:00,23,9,6620.48,4,5,5,14,Champions
12627,2011-11-29 12:07:00,11,7,4478.53,5,5,5,15,Champions
12628,2011-12-05 13:15:00,4,3,786.46,5,3,3,11,Potential Loyalists
12630,2011-11-30 10:48:00,10,2,1270.88,5,2,4,11,New or Recent Customers
12631,2011-10-13 13:53:00,57,1,640.5,3,1,3,7,Potential Loyalists
12633,2011-10-12 11:40:00,59,4,2163.98,3,4,5,12,Potential Loyalists
12635,2011-09-11 11:04:00,90,2,1689.18,2,2,4,8,High Value At Risk
12637,2011-10-03 13:46:00,67,8,6002.9,3,5,5,13,Champions
12638,2011-11-06 13:11:00,33,1,671.69,4,1,3,8,New or Recent Customers
12639,2011-04-15 12:48:00,239,1,486.1,1,1,2,4,At Risk
12640,2011-11-16 11:52:00,24,3,1174.58,4,3,4,11,Potential Loyalists
12641,2011-08-16 13:26:00,115,1,185.9,2,1,1,4,At Risk
12642,2011-11-14 15:03:00,25,3,1013.26,4,3,4,11,Potential Loyalists
12643,2011-08-03 12:56:00,128,6,3344.64,2,5,5,12,High Value At Risk
12644,2011-08-02 10:33:00,130,1,477.91,2,1,2,5,At Risk
12645,2011-11-06 12:38:00,34,4,1775.18,3,4,4,11,Potential Loyalists
12646,2011-12-05 10:14:00,5,2,1346.97,5,2,4,11,New or Recent Customers
12647,2011-11-17 12:56:00,22,12,3722.82,4,5,5,14,Champions
12648,2011-07-08 11:55:00,155,1,318.05,2,1,2,5,At Risk
12649,2011-08-24 14:41:00,107,3,623.51,2,3,3,8,Potential Loyalists
12650,2011-12-06 16:34:00,3,1,314.44,5,1,2,8,New or Recent Customers
12651,2011-01-09 12:46:00,335,1,114.0,1,1,1,3,At Risk
12652,2011-01-12 15:00:00,331,1,919.98,1,1,3,5,At Risk
12653,2011-07-14 10:41:00,149,2,2209.85,2,2,5,9,High Value At Risk
12654,2011-11-29 10:10:00,11,5,601.98,5,4,3,12,Loyal Customers
12656,2011-11-22 13:42:00,17,5,4051.17,4,4,5,13,Champions
12657,2011-11-28 15:47:00,11,4,1643.18,5,4,4,13,Champions
12658,2011-11-21 10:22:00,19,1,686.05,4,1,3,8,New or Recent Customers
12659,2011-11-10 11:53:00,30,1,91.68,4,1,1,6,New or Recent Customers
12660,2011-11-28 13:26:00,11,1,245.1,5,1,1,7,New or Recent Customers
12662,2011-12-09 11:59:00,1,11,3849.78,5,5,5,15,Champions
12664,2011-12-01 17:07:00,8,9,4881.88,5,5,5,15,Champions
12665,2011-01-19 08:34:00,325,1,63.0,1,1,1,3,At Risk
12667,2011-10-12 17:00:00,58,1,620.13,3,1,3,7,Potential Loyalists
12668,2011-11-28 10:56:00,12,4,3807.15,5,4,5,14,Champions
12669,2011-07-12 09:54:00,151,3,2744.03,2,3,5,10,High Value At Risk
12670,2011-11-29 15:23:00,10,5,2996.05,5,4,5,14,Champions
12672,2011-01-14 09:20:00,330,1,225.9,1,1,1,3,At Risk
12673,2011-12-04 13:55:00,5,2,610.52,5,2,3,10,New or Recent Customers
12674,2011-11-01 12:12:00,39,4,1970.6,3,4,4,11,Potential Loyalists
12676,2011-11-15 12:25:00,25,6,1331.39,4,5,4,13,Champions
12678,2011-10-28 13:04:00,42,12,17628.46,3,5,5,13,Champions
12679,2011-10-12 12:30:00,59,4,1113.02,3,4,4,11,Potential Loyalists
12680,2011-12-09 12:50:00,1,4,862.81,5,4,3,12,Loyal Customers
12681,2011-11-25 11:33:00,15,22,13787.54,4,5,5,14,Champions
12682,2011-12-06 10:00:00,4,31,12279.82,5,5,5,15,Champions
12683,2011-12-05 16:31:00,4,15,8476.57,5,5,5,15,Champions
12684,2011-12-02 09:53:00,8,7,2283.63,5,5,5,15,Champions
12685,2011-11-11 13:46:00,28,6,2863.08,4,5,5,14,Champions
12686,2010-12-03 09:51:00,372,1,89.14,1,1,1,3,At Risk
12688,2011-08-18 08:49:00,114,1,4873.81,2,1,5,8,High Value At Risk
12689,2011-11-14 08:31:00,26,2,1247.61,4,2,4,10,New or Recent Customers
12690,2011-05-18 09:09:00,206,1,389.01,1,1,2,4,At Risk
12691,2011-11-11 16:49:00,28,6,1035.8,4,5,4,13,Champions
12693,2011-08-04 17:51:00,127,4,855.91,2,4,3,9,Potential Loyalists
12694,2011-09-30 13:06:00,70,2,869.67,3,2,3,8,Potential Loyalists
12695,2011-12-02 13:22:00,7,4,582.1,5,4,3,12,Loyal Customers
12697,2011-11-11 08:47:00,29,3,957.59,4,3,4,11,Potential Loyalists
12700,2011-12-02 10:47:00,8,4,4939.99,5,4,5,14,Champions
12701,2011-09-21 10:47:00,80,2,797.71,2,2,3,7,At Risk
12702,2011-11-20 10:36:00,20,1,219.0,4,1,1,6,New or Recent Customers
12703,2011-09-29 17:52:00,71,1,283.55,3,1,2,6,Potential Loyalists
12704,2011-12-02 13:15:00,7,8,2340.84,5,5,5,15,Champions
12705,2011-11-24 13:17:00,15,9,6868.29,4,5,5,14,Champions
12707,2011-02-21 08:38:00,292,1,603.42,1,1,3,5,At Risk
12708,2011-11-10 09:52:00,30,10,2712.91,4,5,5,14,Champions
12709,2011-11-24 15:38:00,15,15,9706.52,4,5,5,14,Champions
12710,2011-09-04 12:00:00,97,3,1149.02,2,3,4,9,High Value At Risk
12712,2011-11-11 08:19:00,29,13,4396.13,4,5,5,14,Champions
12713,2011-12-09 12:16:00,1,1,848.55,5,1,3,9,New or Recent Customers
12714,2011-11-30 15:43:00,9,5,4708.86,5,4,5,14,Champions
12715,2011-08-25 15:22:00,106,1,343.36,2,1,2,5,At Risk
12716,2011-12-06 08:55:00,4,2,1053.49,5,2,4,11,New or Recent Customers
12717,2011-07-11 14:47:00,151,2,1030.98,2,2,4,8,High Value At Risk
12718,2011-09-29 16:38:00,71,1,238.25,3,1,1,5,Potential Loyalists
12719,2011-12-04 13:45:00,5,2,644.95,5,2,3,10,New or Recent Customers
12720,2011-12-07 08:03:00,3,25,5781.73,5,5,5,15,Champions
12721,2011-11-08 12:13:00,32,6,2656.13,4,5,5,14,Champions
12722,2011-09-15 14:50:00,85,4,997.63,2,4,4,10,High Value At Risk
12723,2011-12-06 10:19:00,4,5,725.07,5,4,3,12,Loyal Customers
12724,2011-12-04 16:02:00,5,4,1031.41,5,4,4,13,Champions
12725,2010-12-03 15:45:00,371,1,427.8,1,1,2,4,At Risk
12726,2011-11-11 13:35:00,28,7,2609.1,4,5,5,14,Champions
12727,2011-11-29 11:46:00,11,7,3980.7,5,5,5,15,Champions
12728,2011-09-29 15:31:00,71,4,836.33,3,4,3,10,Potential Loyalists
12729,2011-08-18 11:40:00,114,1,453.01,2,1,2,5,At Risk
12731,2011-11-16 11:59:00,24,12,18895.91,4,5,5,14,Champions
12732,2011-06-13 11:33:00,180,1,236.26,1,1,1,3,At Risk
12733,2011-04-19 16:19:00,234,1,383.95,1,1,2,4,At Risk
12734,2010-12-22 12:47:00,353,1,110.4,1,1,1,3,At Risk
12735,2011-01-28 13:37:00,315,2,779.57,1,2,3,6,At Risk
12736,2011-01-11 07:57:00,333,1,234.0,1,1,1,3,At Risk
12738,2010-12-02 18:27:00,372,1,155.35,1,1,1,3,At Risk
12739,2011-09-22 13:00:00,78,2,1013.04,2,2,4,8,High Value At Risk
12740,2011-10-07 10:44:00,64,1,427.6,3,1,2,6,Potential Loyalists
12743,2011-07-28 16:21:00,134,2,540.13,2,2,3,7,At Risk
12744,2011-10-19 11:18:00,52,7,21279.29,3,5,5,13,Champions
12747,2011-12-07 14:34:00,2,11,4196.01,5,5,5,15,Champions
12748,2011-12-09 12:20:00,1,209,33053.19,5,5,5,15,Champions
12749,2011-12-06 09:56:00,4,5,4090.88,5,4,5,14,Champions
12750,2011-08-03 09:13:00,129,1,275.88,2,1,2,5,At Risk
12752,2011-09-19 13:32:00,81,1,4366.78,2,1,5,8,High Value At Risk
12753,2011-11-17 10:52:00,23,6,21429.39,4,5,5,14,Champions
12754,2011-04-18 09:00:00,236,3,3010.74,1,3,5,9,High Value At Risk
12755,2011-03-04 12:42:00,281,2,3811.95,1,2,5,8,High Value At Risk
12756,2011-09-14 09:31:00,87,1,112.08,2,1,1,4,At Risk
12757,2011-11-24 12:30:00,16,13,7834.65,4,5,5,14,Champions
12758,2011-08-15 10:22:00,117,2,2791.59,2,2,5,9,High Value At Risk
12759,2011-10-18 14:49:00,52,3,1531.44,3,3,4,10,Potential Loyalists
12762,2011-12-02 10:23:00,8,2,1898.52,5,2,4,11,New or Recent Customers
12763,2011-07-24 14:12:00,138,2,494.08,2,2,3,7,At Risk
12764,2011-01-27 10:19:00,317,1,1693.88,1,1,4,6,High Value At Risk
12766,2011-12-06 08:46:00,4,7,6989.63,5,5,5,15,Champions
12769,2011-04-15 10:25:00,239,1,1143.6,1,1,4,6,High Value At Risk
12770,2011-05-13 09:33:00,211,1,1351.45,1,1,4,6,High Value At Risk
12772,2011-10-11 09:19:00,60,1,892.47,3,1,3,7,Potential Loyalists
12775,2011-11-22 16:33:00,17,5,1386.04,4,4,4,12,Loyal Customers
12778,2011-11-20 11:30:00,20,6,822.23,4,5,3,12,Loyal Customers
12779,2011-11-02 11:43:00,38,8,3981.36,3,5,5,13,Champions
12781,2011-10-07 10:37:00,64,2,826.74,3,2,3,8,Potential Loyalists
12782,2011-12-05 09:16:00,5,5,2330.92,5,4,5,14,Champions
12783,2011-12-07 15:56:00,2,6,2225.91,5,5,5,15,Champions
12784,2011-11-30 15:38:00,9,2,532.82,5,2,3,10,New or Recent Customers
12785,2010-12-10 13:48:00,364,1,311.95,1,1,2,4,At Risk
12787,2011-11-30 08:44:00,10,3,463.66,5,3,2,10,Potential Loyalists
12789,2011-10-05 13:34:00,65,1,91.85,3,1,1,5,Potential Loyalists
12790,2011-05-31 14:14:00,192,1,324.92,1,1,2,4,At Risk
